Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
CGCG 540-018	PGC 11279	V Zw 297	02 58 58.70	+41 17 18.9		5066	25		
CGCG 540-019			02 59 01.19	+42 20 45.4		4954	22		Visible with direct vision.
CGCG 540-020			02 59 32.19	+41 22 33.4		5754	20		
2MASX J02594106+4134541			02 59 41.07	+41 34 54.3		4956	28		
PGC 11339	V Zw 305		02 59 53.36	+41 32 42.2		5625	23		
CGCG 540-022			03 00 39.70	+40 52 44.6		5460	27		
2MASX J03004093+4222071	NPM1G +42.0103 		03 00 40.92	+42 22 07.4		6013	25		
2MASX J03005797+4300504			03 00 57.97	+43 00 50.5		5025	25		
UGC 2470			03 00 59.46	+43 01 03.3		5025	25		Visible with direct vision. Elongated with fairly bright central area.
UGC 2477			03 01 12.62	+41 43 03.7		5741	25		
2MASX J03014866+4255568	NPM1G +42.0104 		03 01 48.66	+42 55 57.2		5152	66		
2MASX J03022010+4159051			03 02 20.11	+41 59 05.3		6736	25		
UGC 2500			03 02 44.22	+41 37 31.3		4976	30		Slightly elongated. Uniform brightness.
2MASX J03033070+4136238	NPM1G +41.0096 		03 03 30.69	+41 36 23.8		4797	28		
2MASX J03033675+4109578			03 03 36.76	+41 09 57.7		4871	21		
NGC 1175			03 04 32.30	+42 20 22.0		5523	15		Fairly large, bright, and elongated.
2MASX J03043655+4326133			03 04 36.53	+43 26 13.1					
NGC 1177			03 04 37.10	+42 21 46.0		5584	94		Very faint.
UGC 2528			03 05 55.09	+41 35 31.3		6296	33		Small, dim oval.
PGC 11646	V Zw 319		03 06 06.55	+42 21 56.9					
UGC 2534			03 06 32.70	+41 29 07.0		5323	94		Small, dim oval.
CGCG 540-41	PGC 11669		03 06 52.00	+42 31 23.0		5355	28		Nice faint oval forming equilteral triangle with pair of 11th mag stars 1'NNW and 1'W.
UGC 2536			03 06 55.08	+41 30 33.8		4792	27		
UGC 2538			03 07 09.00	+41 44 59.0		5606	94		Small, fairly easy ball. Third in line with two faint stars.
IC 288			03 07 32.90	+42 23 15.0		5198	33		Small oval.
CGCG 524-054			03 07 46.26	+38 22 18.8		4607	17		
2MASX J03080440+4258478			03 08 04.41	+42 58 47.9					
NGC 1207			03 08 15.49	+38 22 55.8		4800	10		Visible with direct vision. Fairly large oval.
2MASX J03082826+4252469			03 08 28.30	+42 52 46.9					
UGC 2552	PGC 11764		03 08 40.55	+42 52 20.0					
CGCG 540-45	PGC 11769		03 08 50.90	+41 48 42.0		5830	34		Faint oval.
UGC 2559			03 09 18.30	+42 58 19.0		5659	14		Small, faint oval.
UGC 2560	IC 1883		03 09 42.23	+40 53 35.1					NED says this is NGC1212.
IC 290	IC 1884	UGC 2561	03 09 42.74	+40 58 27.2		6031	29		Dim and elongated.
CGCG 540-48	PGC 11820		03 09 45.70	+41 15 41.0		6387	29		
2MASX J03095181+4215129			03 09 51.84	+42 15 13.1					
UGC 2562	PGC 11832		03 09 57.38	+42 07 02.9					
UGC 2564	PGC 11844		03 10 05.29	+42 10 46.7					
UGC 2568			03 10 14.40	+42 13 17.0		4752	20		Faint, indistinct haze with averted vision.
CGCG 540-51	PGC 11855		03 10 23.60	+42 25 01.0		5756	18		Small, faint oval.
2MASX J03102902+4218489			03 10 25.99	+42 18 49.1					
UGC 2569	PGC 11863		03 10 34.30	+41 31 39.0					
